file_name,is_real_vulnerability,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes
BenchmarkTest00001.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00002.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00003.java,1,CWE-328,,,0,0,0,1,CWE-1004
BenchmarkTest00005.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00006.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00007.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00008.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00009.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00010.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00011.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00012.java,1,CWE-90,CWE-90,1,1,0,0,0,"CWE-79,CWE-90"
BenchmarkTest00013.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00014.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00015.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00016.java,0,CWE-614,,,0,0,1,0,CWE-113
BenchmarkTest00017.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00018.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00019.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00020.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00021.java,1,CWE-90,CWE-90,1,1,0,0,0,"CWE-79,CWE-90"
BenchmarkTest00022.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00023.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00024.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00025.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00026.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00027.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00028.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00029.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00030.java,1,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79"
BenchmarkTest00032.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00033.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00034.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00035.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00036.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00037.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00038.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00039.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00040.java,1,CWE-22,,,0,0,0,1,
BenchmarkTest00041.java,1,CWE-79,,,0,0,0,1,
BenchmarkTest00042.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00043.java,1,CWE-89,,,0,0,0,1,
BenchmarkTest00044.java,1,CWE-90,CWE-90,1,1,0,0,0,"CWE-79,CWE-90"
BenchmarkTest00045.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00046.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00047.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00048.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00049.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00050.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00051.java,0,CWE-78,,,0,0,1,0,
BenchmarkTest00052.java,0,CWE-89,,,0,0,1,0,
BenchmarkTest00053.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-1004,CWE-209,CWE-327"
BenchmarkTest00054.java,0,CWE-327,,,0,0,1,0,"CWE-1004,CWE-209"
BenchmarkTest00055.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-1004,CWE-209,CWE-327"
BenchmarkTest00056.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-1004,CWE-209,CWE-327"
BenchmarkTest00057.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-1004,CWE-209,CWE-327"
BenchmarkTest00058.java,0,CWE-327,,,0,0,1,0,"CWE-1004,CWE-209"
BenchmarkTest00059.java,0,CWE-327,,,0,0,1,0,"CWE-1004,CWE-209"
BenchmarkTest00060.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00061.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00062.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00063.java,0,CWE-22,,,0,0,1,0,CWE-1004
BenchmarkTest00064.java,0,CWE-22,,,0,0,1,0,CWE-1004
BenchmarkTest00065.java,1,CWE-22,CWE-23,0,1,0,0,0,"CWE-1004,CWE-23"
BenchmarkTest00066.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00067.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00068.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00069.java,0,CWE-328,,,0,0,1,0,CWE-1004
BenchmarkTest00070.java,1,CWE-328,CWE-916,0,1,0,0,0,"CWE-1004,CWE-916"
BenchmarkTest00071.java,1,CWE-328,CWE-916,0,1,0,0,0,"CWE-1004,CWE-916"
BenchmarkTest00072.java,0,CWE-328,,,0,0,1,0,CWE-1004
BenchmarkTest00073.java,1,CWE-328,CWE-916,0,1,0,0,0,"CWE-1004,CWE-916"
BenchmarkTest00074.java,1,CWE-328,,,0,0,0,1,CWE-1004
BenchmarkTest00075.java,0,CWE-328,,,0,0,1,0,CWE-1004
BenchmarkTest00076.java,0,CWE-328,,,0,0,1,0,CWE-1004
BenchmarkTest00077.java,1,CWE-78,CWE-78,1,1,0,0,0,"CWE-1004,CWE-78"
BenchmarkTest00078.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00079.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00080.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00081.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00082.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00083.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00084.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00085.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00086.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-1004,CWE-330,CWE-798"
BenchmarkTest00087.java,1,CWE-614,CWE-614,1,1,0,0,0,"CWE-1004,CWE-113,CWE-614"
BenchmarkTest00088.java,0,CWE-614,,,0,0,1,0,"CWE-1004,CWE-113"
BenchmarkTest00089.java,0,CWE-614,,,0,0,1,0,"CWE-1004,CWE-113"
BenchmarkTest00090.java,0,CWE-78,,,0,0,1,0,CWE-1004
BenchmarkTest00091.java,1,CWE-78,CWE-78,1,1,0,0,0,"CWE-1004,CWE-78"
BenchmarkTest00092.java,1,CWE-78,CWE-78,1,1,0,0,0,"CWE-1004,CWE-78"
BenchmarkTest00093.java,0,CWE-78,CWE-78,1,0,1,0,0,"CWE-1004,CWE-78"
BenchmarkTest00094.java,0,CWE-330,,,0,0,1,0,"CWE-1004,CWE-798"
BenchmarkTest00095.java,0,CWE-330,,,0,0,1,0,"CWE-1004,CWE-798"
BenchmarkTest00096.java,0,CWE-330,,,0,0,1,0,"CWE-1004,CWE-798"
BenchmarkTest00100.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00101.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00102.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00103.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00104.java,0,CWE-89,,,0,0,1,0,CWE-1004
BenchmarkTest00105.java,0,CWE-89,,,0,0,1,0,CWE-1004
BenchmarkTest00106.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00107.java,0,CWE-89,,,0,0,1,0,CWE-1004
BenchmarkTest00108.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00109.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00110.java,0,CWE-89,,,0,0,1,0,CWE-1004
BenchmarkTest00111.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00112.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00113.java,0,CWE-89,CWE-89,1,0,1,0,0,"CWE-1004,CWE-89"
BenchmarkTest00114.java,0,CWE-89,,,0,0,1,0,CWE-1004
BenchmarkTest00115.java,1,CWE-89,CWE-89,1,1,0,0,0,"CWE-1004,CWE-89"
BenchmarkTest00116.java,0,CWE-643,CWE-643,1,0,1,0,0,"CWE-1004,CWE-643,CWE-79"
BenchmarkTest00117.java,0,CWE-643,,,0,0,1,0,CWE-1004
BenchmarkTest00118.java,0,CWE-643,,,0,0,1,0,CWE-1004
BenchmarkTest00119.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00120.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00121.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00122.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00123.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00124.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00125.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00126.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00127.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00128.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00129.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00130.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00131.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00132.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00133.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00134.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00135.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00136.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00137.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00138.java,0,CWE-90,,,0,0,1,0,
BenchmarkTest00139.java,0,CWE-90,,,0,0,1,0,
BenchmarkTest00140.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00141.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00142.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00143.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00144.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00145.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00146.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00147.java,0,CWE-79,CWE-79,1,0,1,0,0,CWE-79
BenchmarkTest00148.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00149.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00150.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00151.java,0,CWE-79,CWE-79,1,0,1,0,0,"CWE-134,CWE-79"
BenchmarkTest00152.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00153.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00154.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00155.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00156.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00157.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00158.java,0,CWE-78,,,0,0,1,0,
BenchmarkTest00159.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00160.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00161.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00162.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00163.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00164.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00165.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00166.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00167.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00168.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00169.java,1,CWE-614,CWE-614,1,1,0,0,0,"CWE-113,CWE-614"
BenchmarkTest00170.java,1,CWE-614,CWE-614,1,1,0,0,0,"CWE-113,CWE-614"
BenchmarkTest00171.java,0,CWE-78,CWE-78,1,0,1,0,0,CWE-78
BenchmarkTest00172.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00173.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00174.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00175.java,0,CWE-78,CWE-78,1,0,1,0,0,CWE-78
BenchmarkTest00176.java,1,CWE-78,CWE-78,1,1,0,0,0,CWE-78
BenchmarkTest00177.java,0,CWE-78,,,0,0,1,0,
BenchmarkTest00178.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00179.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00180.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00181.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00182.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00183.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00184.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00185.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00186.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00187.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00188.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00190.java,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89
BenchmarkTest00191.java,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89
BenchmarkTest00192.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00193.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00194.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00195.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00196.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00197.java,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89
BenchmarkTest00198.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00199.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00200.java,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89
BenchmarkTest00201.java,0,CWE-89,,,0,0,1,0,
BenchmarkTest00202.java,0,CWE-89,,,0,0,1,0,
BenchmarkTest00203.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00204.java,1,CWE-89,CWE-89,1,1,0,0,0,CWE-89
BenchmarkTest00205.java,0,CWE-89,CWE-89,1,0,1,0,0,CWE-89
BenchmarkTest00206.java,0,CWE-89,,,0,0,1,0,
BenchmarkTest00207.java,1,CWE-643,CWE-643,1,1,0,0,0,"CWE-643,CWE-79"
BenchmarkTest00208.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00209.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00210.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00211.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00212.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00213.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00214.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00215.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00216.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00217.java,0,CWE-22,,,0,0,1,0,
BenchmarkTest00218.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00219.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00220.java,0,CWE-22,,,0,0,1,0,
BenchmarkTest00221.java,0,CWE-22,,,0,0,1,0,
BenchmarkTest00222.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00223.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00224.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00225.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00226.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00227.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00228.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00229.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00230.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00231.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00232.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00233.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00234.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00235.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00236.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00237.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00238.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00239.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00240.java,1,CWE-330,CWE-330,1,1,0,0,0,"CWE-330,CWE-798"
BenchmarkTest00241.java,1,CWE-614,CWE-614,1,1,0,0,0,"CWE-113,CWE-614"
BenchmarkTest00242.java,0,CWE-614,,,0,0,1,0,CWE-113
BenchmarkTest00243.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00244.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00245.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00246.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00247.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00248.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00249.java,0,CWE-330,,,0,0,1,0,CWE-798
BenchmarkTest00254.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00255.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00256.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00257.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00258.java,1,CWE-327,CWE-327,1,1,0,0,0,"CWE-209,CWE-327"
BenchmarkTest00259.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00260.java,0,CWE-327,,,0,0,1,0,CWE-209
BenchmarkTest00261.java,0,CWE-22,,,0,0,1,0,
BenchmarkTest00262.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00263.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00264.java,1,CWE-22,CWE-23,0,1,0,0,0,CWE-23
BenchmarkTest00265.java,0,CWE-22,CWE-23,0,0,1,0,0,CWE-23
BenchmarkTest00266.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00267.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00268.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00269.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00270.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00271.java,0,CWE-328,,,0,0,1,0,
BenchmarkTest00272.java,1,CWE-328,CWE-916,0,1,0,0,0,CWE-916
BenchmarkTest00273.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00274.java,1,CWE-328,,,0,0,0,1,
BenchmarkTest00275.java,0,CWE-79,,,0,0,1,0,
BenchmarkTest00276.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00277.java,0,CWE-79,,,0,0,1,0,
BenchmarkTest00278.java,0,CWE-79,,,0,0,1,0,
BenchmarkTest00279.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00280.java,1,CWE-79,CWE-79,1,1,0,0,0,CWE-79
BenchmarkTest00281.java,0,CWE-79,,,0,0,1,0,
